Afghanistan,35.8 
Albania,14.3 
Algeria,23 
Angola,40.5 
Anguilla,23 
Argentina,32.2
Armenia,32 
Austria,4 
Azerbaijan,4.9 
Bahamas,9.3 
Bangladesh,31.5 
Belarus,5.7 
Belgium,15.1 
Belize,41 
Benin,36.2 
Bermuda,11 
Bhutan,13.3 
Bolivia,38.6
Bosnia and Herzegovina,17.2 
Botswana,30.3 
Brazil,3.7
Bulgaria,22 
Burkina Faso,40.1 
Burma,25.6 
Burundi,64.6 
Cabo Verde,30 
Cambodia,17.7 
Cameroon,30 
Canada,9.4
Chad,46.7 
Chile,14.4 
China,3.3
Colombia,27.8 
Comoros,44.8 
Democratic Republic of the Congo,63 
Republic of the Congo,46.5 
Costa Rica,21.7 
Cote d'Ivoire,46.3 
Croatia,19.5 
Czechia,9.7 
Denmark,13.4 
Djibouti,23
Dominica,29 
Dominican Republic,30.5 
Ecuador,25.6 
Egypt,25.2 
El Salvador,34.9 
Equatorial Guinea,44 
Eritrea,50 
Estonia,21.3 
Ethiopia,29.6 
European Union,9.8
Faroe Islands,4.2 
Fiji,31 
France,14 
French Polynesia,19.7 
Gabon,34.3 
Gambia,48.4 
Gaza Strip,30
Georgia,9.2 
Germany,16.7 
Ghana,24.2 
Greece,36 
Greenland,16.2 
Grenada,38 
Guam,23 
Guatemala,59.3 
Guinea,47 
Guinea-Bissau,67 
Guyana,35 
Haiti,58.5 
Honduras,29.6 
Hong Kong,19.6 
Hungary,14.9 
India,21.9 
Indonesia,10.9 
Iran,18.7 
Iraq,23 
Ireland,8.2 
Israel,22
Italy,29.9 
Jamaica,16.5 
Japan,16.1 
Jordan,14.2 
Kazakhstan,2.7 
Kenya,43.4 
South Korea,12.5 
Kosovo,30 
Kyrgyzstan,32.1 
Laos,22 
Latvia,25.5 
Lebanon,28.6 
Lesotho,57 
Liberia,54.1 
Lithuania,22.2 
Macedonia,21.5 
Madagascar,70.7 
Malawi,50.7 
Malaysia,3.8 
Maldives,16 
Mali,36.1 
Malta,16.3 
Mauritania,31 
Mauritius,8 
Mexico,46.2
Micronesia,26.7 
Moldova,20.8 
Mongolia,21.6 
Montenegro,8.6 
Morocco,15 
Mozambique,46.1 
Namibia,28.7 
Nepal,25.2 
Netherlands,8.8 
New Caledonia,17 
Nicaragua,29.6 
Niger,45.4 
Nigeria,70 
Pakistan,29.5 
Panama,23 
Papua New Guinea,37 
Paraguay,22.2 
Peru,22.7 
Philippines,21.6 
Poland,17.6 
Portugal,19 
Romania,22.4 
Russia,13.3 
Rwanda,39.1 
Sao Tome and Principe,66.2 
Senegal,46.7 
Serbia,8.9 
Seychelles,39.3 
Sierra Leone,70.2 
Slovakia,12.3 
Slovenia,14.3 
South Africa,16.6 
South Sudan,50.6 
Spain,21.1 
Sri Lanka,6.7 
Sudan,46.5 
Suriname,70 
Swaziland,63 
Sweden,15 
Switzerland,6.6 
Syria,82.5 
Taiwan,1.5 
Tajikistan,31.5 
Tanzania,22.8 
Thailand,7.2 
Timor-Leste,41.8 
Togo,55.1 
Tonga,24 
Trinidad and Tobago,20 
Tunisia,15.5 
Turkey,21.9 
Turkmenistan,0.2 
Tuvalu,26.3 
Uganda,19.7 
Ukraine,24.1 
United Arab Emirates,19.5 
United Kingdom,15 
United States,15.1 
Uruguay,9.7 
Uzbekistan,14 
Venezuela,19.7 
Vietnam,11.3 
Virgin Islands,28.9 
West Bank,18 
Yemen,54 
Zambia,60.5 
Zimbabwe,72.3 
